,CAD Event Number,Event Clearance Description,Call Type,Priority,Initial Call Type,Final Call Type,Original Time Queued,Arrived Time,Precinct,Sector,Beat
4798045,2022000052490,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",1,OVERDOSE - DRUG RELATED CASUALTY,--ASSIST OTHER AGENCY - CITY AGENCY,03/02/2022 08:52:08 AM,03/02/2022 09:02:38 AM,NORTH,BOY,B3
2902546,2013000364721,ORAL WARNING GIVEN,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--INTOX & LIQ VIOLS - ADULTS (VIOLATIONS),10/07/2013 02:47:31 PM,10/07/2013 02:47:31 PM,WEST,MARY,M1
2670042,2012000140914,ASSISTANCE RENDERED,911,4,"NOISE - DIST, GENERAL (CONST, RESID, BALL PLAY)",--DISTURBANCE - OTHER,05/07/2012 11:23:02 PM,05/08/2012 12:13:05 AM,NORTH,LINCOLN,L1
2513804,2019000436427,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"AUTO - THEFT/LOSS, PLATES AND/OR TAB",--AUTOMOBILES - LICENSE PLATE(S) THEFT OR LOSS,11/23/2019 05:08:46 PM,11/23/2019 06:40:29 PM,NORTH,JOHN,J1
945095,2018000160696,DUPLICATED OR CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",3,BURG - RES (INCL UNOCC STRUCTURES ON PROP),BURG - RES (INCL UNOCC STRUCTURES ON PROP),05/06/2018 08:50:58 AM,01/01/1900 12:00:00 AM,SOUTHWEST,WILLIAM,W1
1485749,2021000110682,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - REQUEST TO WATCH,05/06/2021 03:07:45 PM,05/06/2021 03:07:45 PM,SOUTH,OCEAN,O2
3798836,2010000406697,ASSISTANCE RENDERED,ONVIEW,2,ASSIST OTHER AGENCY - ROUTINE SERVICE,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),11/22/2010 01:50:47 PM,11/22/2010 01:50:47 PM,NORTH,UNION,U1
1119245,2019000443657,REPORT WRITTEN (NO ARREST),ONVIEW,3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--PROPERTY - MISSING PROPERTY,11/30/2019 05:15:31 AM,11/30/2019 05:15:31 AM,EAST,EDWARD,E2
1639630,2013000056042,ASSISTANCE RENDERED,911,3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,02/17/2013 11:30:04 PM,02/17/2013 11:42:07 PM,WEST,MARY,M1
1203558,2012000353832,NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),10/15/2012 07:35:06 PM,01/01/1900 12:00:00 AM,EAST,CHARLIE,C3
4839553,2014000153072,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,05/16/2014 06:36:02 PM,05/16/2014 08:05:34 PM,NORTH,LINCOLN,L2
2464446,2017000463709,ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,12/17/2017 11:04:25 AM,12/17/2017 12:23:16 PM,EAST,GEORGE,G3
2312206,2019000412972,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,2,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - ALL OTHER,11/05/2019 08:22:49 PM,11/05/2019 08:31:24 PM,WEST,DAVID,D3
1553181,2011000393181,NO POLICE ACTION POSSIBLE OR NECESSARY,"TELEPHONE OTHER, NOT 911",3,FOLLOW UP,--TRAFFIC - MV COLLISION INVESTIGATION,12/07/2011 09:45:20 AM,12/07/2011 11:09:42 AM,EAST,GEORGE,G2
2693862,2022000146722,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,1,UNKNOWN - COMPLAINT OF UNKNOWN NATURE,"--ASSIST PUBLIC - 911 HANG UP, OPEN LINE",06/09/2022 03:34:40 PM,06/09/2022 03:39:54 PM,SOUTH,SAM,S2
1900992,2022000100751,ASSISTANCE RENDERED,ONVIEW,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,"--ARSON, BOMBS, EXPLO - RECKLESS BURNING",04/22/2022 05:22:50 PM,04/22/2022 05:22:50 PM,WEST,KING,K2
2291164,2017000398403,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,10/27/2017 12:22:44 AM,10/27/2017 12:22:44 AM,EAST,CHARLIE,C1
1666795,2016000000997,ORAL WARNING GIVEN,911,2,"PANHANDLING, AGGRESSIVE",--PROWLER - TRESPASS,01/01/2016 08:56:12 PM,01/01/2016 09:16:01 PM,NORTH,NORA,N3
4471875,2009000239870,REPORT WRITTEN (NO ARREST),911,3,"ACC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,07/10/2009 12:24:29 PM,07/10/2009 01:00:36 PM,WEST,QUEEN,Q1
3285442,2019000277477,REPORT WRITTEN (NO ARREST),911,2,"WEAPN - GUN,DEADLY WPN (NO THRTS/ASLT/DIST)",--PROPERTY - FOUND PROPERTY,07/28/2019 09:42:04 AM,07/28/2019 09:55:25 AM,EAST,CHARLIE,C1
885178,2021000222474,ASSISTANCE RENDERED,ONVIEW,7,DIRECTED PATROL ACTIVITY,--DIRECTED PATROL ACTIVITY,08/26/2021 02:19:59 PM,08/26/2021 02:19:59 PM,WEST,DAVID,D3
4128009,2017000125356,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - MVC - HIT AND RUN,--TRAFFIC - MV COLLISION INVESTIGATION,04/10/2017 01:47:52 PM,04/10/2017 04:07:20 PM,EAST,EDWARD,E2
3442435,2014000101265,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,04/03/2014 12:53:32 PM,04/03/2014 01:10:32 PM,SOUTHWEST,FRANK,F3
2199871,2011000357272,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,11/02/2011 02:55:30 PM,11/02/2011 02:55:30 PM,EAST,CHARLIE,C1
767988,2013000194455,RESPONDING UNIT(S) CANCELLED BY RADIO,911,1,SFD - ASSIST ON FIRE OR MEDIC RESPONSE,--DISTURBANCE - OTHER,06/06/2013 04:17:02 PM,06/06/2013 04:26:05 PM,SOUTH,ROBERT,R1
1411394,2016000303821,REPORT WRITTEN (NO ARREST),911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),--DISTURBANCE - FIGHT,08/22/2016 06:22:03 PM,08/22/2016 06:22:54 PM,WEST,MARY,M1
409801,2012000157905,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,05/22/2012 03:47:24 PM,05/22/2012 03:47:24 PM,WEST,MARY,M2
4483422,2019000401915,ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,10/28/2019 05:08:27 PM,10/28/2019 05:09:37 PM,NORTH,BOY,B1
3505658,2018000090443,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,03/13/2018 01:12:11 PM,03/13/2018 01:12:11 PM,EAST,EDWARD,E1
4411372,2013000384383,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,10/23/2013 01:11:12 AM,10/23/2013 01:24:36 AM,SOUTH,OCEAN,O3
2731720,2012000031362,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",1,UNKNOWN - ANI/ALI - LANDLINE (INCLUDES OPEN LINE),--ASSIST PUBLIC - OTHER (NON-SPECIFIED),02/01/2012 08:23:29 PM,02/01/2012 09:05:41 PM,NORTH,UNION,U3
1364890,2015000041132,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - ALL OTHER,02/05/2015 12:28:52 PM,02/05/2015 02:01:57 PM,NORTH,NORA,N1
160464,2017000450710,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,12/07/2017 01:29:04 AM,12/07/2017 01:29:04 AM,EAST,GEORGE,G3
5000476,2010000023471,ASSISTANCE RENDERED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,01/21/2010 11:15:51 AM,01/21/2010 12:21:07 PM,EAST,GEORGE,G3
2057822,2017000044185,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,THEFT (DOES NOT INCLUDE SHOPLIFT OR SVCS),--THEFT - CAR PROWL,02/05/2017 03:28:06 PM,02/05/2017 03:40:52 PM,WEST,MARY,M1
1412829,2010000325661,ASSISTANCE RENDERED,ONVIEW,4,REQUEST TO WATCH,--PREMISE CHECKS - REQUEST TO WATCH,09/17/2010 04:04:12 AM,09/17/2010 04:04:12 AM,EAST,GEORGE,G3
4012322,2011000277021,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),08/23/2011 01:11:05 PM,01/01/1900 12:00:00 AM,NORTH,BOY,B1
3414346,2016000129835,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - RESIDENTIAL - BURGLARY, SILENT/AUDIBLE",--ALARM-RESIDENTIAL BURG,04/15/2016 12:14:19 PM,04/15/2016 01:01:37 PM,SOUTH,SAM,S3
3023103,2014000280886,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,08/23/2014 11:32:16 AM,08/23/2014 11:32:16 AM,WEST,MARY,M3
4114925,2012000351296,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",10/13/2012 07:09:47 PM,10/13/2012 07:59:08 PM,WEST,KING,K2
1128448,2013000411257,ORAL WARNING GIVEN,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--MISCHIEF OR NUISANCE - GENERAL,11/13/2013 08:39:41 AM,11/13/2013 08:39:41 AM,WEST,KING,K1
2121049,2011000097948,ORAL WARNING GIVEN,ONVIEW,7,SUSPICIOUS STOP - OFFICER INITIATED ONVIEW,--INTOX & LIQ VIOLS - ADULTS (VIOLATIONS),03/26/2011 05:01:20 PM,03/26/2011 05:01:20 PM,EAST,EDWARD,E2
1326488,2019000245229,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,07/05/2019 02:14:17 AM,07/05/2019 04:10:35 AM,EAST,CHARLIE,C3
3024154,2011000322842,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,10/01/2011 10:03:42 AM,10/01/2011 10:03:42 AM,WEST,KING,K2
2413837,2014000384637,ASSISTANCE RENDERED,ONVIEW,9,OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,11/17/2014 06:49:52 AM,11/17/2014 06:49:52 AM,WEST,DAVID,D2
4691139,2013000300540,REPORT WRITTEN (NO ARREST),911,3,ORDER - VIOLATING DV COURT ORDER,--DV - ENFORCE COURT ORDER (ARREST MANDATED),08/20/2013 10:03:24 AM,08/20/2013 11:57:39 AM,NORTH,NORA,N1
4830667,2020000158477,ASSISTANCE RENDERED,911,3,DETOX - REQUEST FOR,--INTOX & LIQ VIOLS - INTOXICATED PERSON,05/13/2020 09:18:03 PM,01/01/1900 12:00:00 AM,WEST,QUEEN,Q3
4842433,2009000191385,ASSISTANCE RENDERED,911,1,DOWN - CHECK FOR PERSON DOWN,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",06/03/2009 04:37:59 PM,06/03/2009 04:43:40 PM,SOUTHWEST,FRANK,F2
2693784,2012000019067,REPORT WRITTEN (NO ARREST),ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)",--BURGLARY - NON RESIDENTIAL/COMMERCIAL,01/21/2012 01:20:12 AM,01/21/2012 01:35:07 AM,SOUTH,ROBERT,R2
803817,2010000184667,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--SUSPICIOUS CIRCUM. - SUSPICIOUS VEHICLE,06/02/2010 09:06:59 PM,06/02/2010 09:06:59 PM,EAST,CHARLIE,C1
1314080,2012000323098,TRANSPORTATION OR ESCORT PROVIDED,911,1,DOWN - CHECK FOR PERSON DOWN,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),09/23/2012 12:54:27 AM,09/23/2012 01:11:21 AM,WEST,MARY,M2
3846021,2021000235109,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,TRESPASS,--PROWLER - TRESPASS,09/08/2021 03:49:35 AM,09/08/2021 03:55:08 AM,WEST,KING,K1
3180142,2021000136030,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",5,TRU - SUSPICIOUS CIRCUMSTANCES,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,06/02/2021 02:13:10 PM,06/02/2021 04:06:31 PM,SOUTH,ROBERT,R2
2143138,2017000299893,FALSE COMPLAINT/UNFOUNDED,ALARM CALL (NOT POLICE ALARM),3,"ALARM - COMM, SILENT/AUD BURG (INCL BANKS)","--ALARM-COMM (INC BANK, ATM, SCHOOLS, BSN)",08/14/2017 06:32:05 AM,08/14/2017 07:09:42 AM,NORTH,UNION,U1
4230266,2013000291654,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,"HARAS - NO BIAS, THREATS OR MALICIOUSNESS",--SEX OFFENSES (NON-RAPE) - LEWD CONDUCT,08/13/2013 07:26:32 PM,08/13/2013 07:41:03 PM,NORTH,JOHN,J2
1877618,2014000240955,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),07/23/2014 10:41:36 AM,01/01/1900 12:00:00 AM,NORTH,NORA,N3
2469610,2013000099689,ASSISTANCE RENDERED,911,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,03/25/2013 02:36:50 AM,03/25/2013 03:36:09 AM,WEST,QUEEN,Q1
4190697,2020000010513,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - HOMELESS ENCAMPMENT,01/09/2020 12:32:21 PM,01/09/2020 12:32:21 PM,WEST,QUEEN,Q3
1063486,2019000202561,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,06/04/2019 01:50:45 PM,06/04/2019 01:50:45 PM,SOUTHWEST,WILLIAM,W3
472745,2009000366673,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",6,SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),--THEFT - CAR PROWL,10/17/2009 08:24:33 PM,10/17/2009 08:24:36 PM,EAST,EDWARD,E1
3214445,2018000061397,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,JUVENILE - RUNAWAY,--PERSON - RUNAWAY,02/18/2018 03:43:33 PM,02/18/2018 05:02:02 PM,EAST,GEORGE,G1
4227757,2011000252633,NO POLICE ACTION POSSIBLE OR NECESSARY,911,3,PROPERTY - FOUND,--PROPERTY - FOUND PROPERTY,08/03/2011 01:52:09 PM,08/03/2011 02:36:25 PM,WEST,MARY,M1
4639463,2009000413153,CITATION ISSUED (CRIMINAL OR NON-CRIMINAL),ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,11/28/2009 02:52:30 PM,11/28/2009 02:52:30 PM,WEST,KING,K2
3274325,2018000124715,ASSISTANCE RENDERED,911,2,TRESPASS,--PROWLER - TRESPASS,04/09/2018 01:42:17 PM,04/09/2018 02:16:02 PM,EAST,EDWARD,E1
75984,2018000455865,PHYSICAL ARREST MADE,911,1,ASLT - IP/JO - WITH OR W/O WPNS (NO SHOOTINGS),"--ASSAULTS, OTHER",12/07/2018 12:33:18 AM,12/07/2018 12:34:38 AM,EAST,EDWARD,E2
4457115,2020000123908,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,ONVIEW,2,WARRANT - FELONY PICKUP,--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,04/13/2020 02:36:56 PM,04/13/2020 02:36:56 PM,EAST,GEORGE,G2
1487542,2011000187058,ASSISTANCE RENDERED,ONVIEW,1,SICK PERSON,"--CASUALTY,NON-TRAF,NON-CRIM - NON-DRUG RELATED",06/11/2011 12:59:07 PM,06/11/2011 12:59:07 PM,WEST,MARY,M3
680724,2017000335278,ORAL WARNING GIVEN,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,09/09/2017 01:30:33 AM,09/09/2017 01:30:33 AM,WEST,DAVID,D2
3919832,2010000107961,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - REQUEST TO WATCH,04/03/2010 03:59:10 AM,04/03/2010 03:59:10 AM,SOUTHWEST,WILLIAM,W2
3813873,2015000408135,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,"TELEPHONE OTHER, NOT 911",4,PROPERTY - FOUND,--PROPERTY - FOUND PROPERTY,11/22/2015 03:21:16 PM,11/23/2015 01:25:47 AM,WEST,KING,K3
1929745,2016000000601,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",6,SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),--THEFT - CAR PROWL,01/01/2016 02:04:52 PM,01/01/2016 04:28:07 PM,WEST,MARY,M1
1946445,2022000052333,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,--ASSIST PUBLIC - OTHER (NON-SPECIFIED),03/02/2022 02:48:04 AM,03/02/2022 04:02:47 AM,WEST,DAVID,D3
2336753,2011000303719,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",6,SECONDARY - THEFT (NOT SHOPLIFT OR SERVICES),--THEFT - ALL OTHER,09/14/2011 09:43:37 AM,09/14/2011 10:07:04 AM,WEST,DAVID,D3
4473179,2017000031178,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,PARKING VIOLATION (EXCEPT ABANDONED CAR),--TRAFFIC - PARKING VIOL (EXCEPT ABANDONED CAR),01/26/2017 07:55:59 AM,01/01/1900 12:00:00 AM,WEST,DAVID,D3
315283,2022000185415,ASSISTANCE RENDERED,911,2,SERVICE - WELFARE CHECK,--ASSIST OTHER AGENCY - CITY AGENCY,07/17/2022 07:54:46 PM,07/17/2022 08:02:00 PM,NORTH,BOY,B1
2425771,2018000126322,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,DEMONSTRATIONS,--CROWD MGMNT (STAND BY ONLY),04/10/2018 05:31:24 PM,04/10/2018 05:31:29 PM,WEST,DAVID,D2
3665601,2014000427528,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,12/28/2014 07:55:02 AM,12/28/2014 08:09:49 AM,SOUTH,ROBERT,R3
1452079,2010000395263,ASSISTANCE RENDERED,ONVIEW,2,TRESPASS,--PROWLER - TRESPASS,11/12/2010 01:12:45 PM,11/12/2010 01:12:45 PM,NORTH,LINCOLN,L3
721260,2009000440270,OTHER REPORT MADE,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,12/23/2009 05:55:43 PM,12/23/2009 05:59:31 PM,EAST,CHARLIE,C3
893649,2019000371167,ASSISTANCE RENDERED,911,2,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,10/04/2019 08:32:45 PM,10/04/2019 08:55:20 PM,SOUTH,ROBERT,R2
2533789,2015000339252,ASSISTANCE RENDERED,911,2,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT",--SUSPICIOUS CIRCUM. - SUSPICIOUS PERSON,09/28/2015 10:15:31 AM,09/28/2015 10:25:05 AM,SOUTH,ROBERT,R1
2753710,2014000193552,UNABLE TO LOCATE INCIDENT OR COMPLAINANT,911,3,"CHILD - ABAND, ABUSED, MOLESTED, NEGLECTED",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),06/17/2014 05:42:04 PM,06/17/2014 06:15:37 PM,NORTH,NORA,N1
2569531,2021000034001,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,MISSING - ADULT,--PERSON - MISSING PERSON,02/09/2021 03:56:19 PM,02/09/2021 04:18:07 PM,SOUTHWEST,WILLIAM,W1
4058087,2015000235328,REPORT WRITTEN (NO ARREST),ONVIEW,2,VICE - PROSTITUTION,--VICE - PROSTITUTION,07/09/2015 11:44:19 PM,07/09/2015 11:44:19 PM,NORTH,NORA,N2
4168340,2020000275817,REPORT WRITTEN (NO ARREST),911,2,ORDER - VIOLATING DV COURT ORDER,--DV - ENFORCE COURT ORDER (ARREST MANDATED),09/24/2020 01:54:08 PM,09/24/2020 02:58:41 PM,NORTH,NORA,N3
754246,2018000242977,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"DISTURBANCE, MISCELLANEOUS/OTHER",--DISTURBANCE - OTHER,07/03/2018 01:04:02 PM,07/03/2018 01:16:07 PM,WEST,MARY,M1
14138,2010000196354,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",3,"NOISE - DISTURBANCE (PARTY, ETC)",--DISTURBANCE - NOISE,06/11/2010 03:01:27 AM,06/11/2010 04:18:35 AM,NORTH,UNION,U2
3572397,2013000337214,PROBLEM SOLVING PROJECT,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--ASSIST PUBLIC - OTHER (NON-SPECIFIED),09/16/2013 07:39:02 AM,09/16/2013 07:39:02 AM,NORTH,JOHN,J1
3565938,2017000131946,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",4,PROPERTY - FOUND,--PROPERTY - FOUND PROPERTY,04/15/2017 05:34:46 PM,04/15/2017 09:08:53 PM,WEST,DAVID,D3
309708,2021000008423,ASSISTANCE RENDERED,"TELEPHONE OTHER, NOT 911",2,TRAFFIC - BLOCKING ROADWAY,--TRAFFIC - BLOCKING TRAFFIC,01/11/2021 10:59:53 AM,01/11/2021 12:23:51 PM,SOUTHWEST,FRANK,F3
1337864,2014000133406,FOLLOW-UP REPORT MADE,ONVIEW,3,FOLLOW UP,--THEFT - ALL OTHER,05/01/2014 09:22:29 AM,05/01/2014 09:22:29 AM,EAST,EDWARD,E2
1053232,2020000295671,RESPONDING UNIT(S) CANCELLED BY RADIO,"TELEPHONE OTHER, NOT 911",2,TRESPASS,--PROWLER - TRESPASS,10/16/2020 07:30:52 PM,01/01/1900 12:00:00 AM,WEST,QUEEN,Q3
3458799,2011000285540,REPORT WRITTEN (NO ARREST),ONVIEW,3,"SUSPICIOUS PERSON, VEHICLE OR INCIDENT","SUSPICIOUS PERSON, VEHICLE OR INCIDENT",08/30/2011 11:56:18 AM,08/30/2011 11:56:18 AM,UNKNOWN,,DET
4215231,2017000463010,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,12/16/2017 06:50:14 PM,12/16/2017 06:50:14 PM,WEST,MARY,M3
2906277,2014000363286,ASSISTANCE RENDERED,ONVIEW,9,-OFF DUTY EMPLOYMENT,-OFF DUTY EMPLOYMENT,10/30/2014 09:58:46 AM,10/30/2014 09:58:46 AM,WEST,QUEEN,Q1
162067,2015000269082,ORAL WARNING GIVEN,ONVIEW,3,LIQUOR VIOLATIONS - ADULT,--INTOX & LIQ VIOLS - ADULTS (VIOLATIONS),08/04/2015 04:32:20 PM,08/04/2015 04:32:20 PM,WEST,MARY,M3
4637750,2011000110267,FOLLOW-UP REPORT MADE,ONVIEW,3,FOLLOW UP,--DISTURBANCE - OTHER,04/06/2011 05:12:51 PM,04/06/2011 05:12:51 PM,NORTH,NORA,N2
733025,2016000426752,OTHER REPORT MADE,ONVIEW,7,TRAFFIC STOP - OFFICER INITIATED ONVIEW,--TRAFFIC - MOVING VIOLATION,11/26/2016 08:44:21 PM,11/26/2016 08:44:21 PM,EAST,EDWARD,E2
700642,2015000450081,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",3,AUTO THEFT - VEH THEFT OR THEFT & RECOVERY,--AUTOMOBILES - AUTO THEFT,12/30/2015 01:05:56 PM,12/30/2015 01:11:57 PM,SOUTH,OCEAN,O2
2961114,2015000148986,REPORT WRITTEN (NO ARREST),"TELEPHONE OTHER, NOT 911",2,SHOPLIFT - THEFT,--THEFT - ALL OTHER,05/07/2015 10:10:42 AM,05/07/2015 10:27:55 AM,SOUTHWEST,FRANK,F2
2620089,2017000091457,ASSISTANCE RENDERED,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,03/15/2017 01:23:46 AM,03/15/2017 01:23:46 AM,UNKNOWN,,F2
2458608,2014000293992,ASSISTANCE RENDERED,911,3,NARCOTICS - FOUND,"--NARCOTICS - FOUND , RECOVERED NARCOTICS",09/03/2014 10:52:32 AM,09/03/2014 11:48:08 AM,NORTH,UNION,U1
720237,2011000352184,RADIO BROADCAST AND CLEAR,ONVIEW,7,"PREMISE CHECK, OFFICER INITIATED ONVIEW ONLY",--PREMISE CHECKS - CRIME PREVENTION,10/28/2011 11:21:32 PM,10/28/2011 11:21:32 PM,WEST,MARY,M2
1756465,2015000397158,REPORT WRITTEN (NO ARREST),911,2,PERSON IN BEHAVIORAL/EMOTIONAL CRISIS,--DISTURBANCE - OTHER,11/13/2015 04:32:20 PM,11/13/2015 04:57:55 PM,WEST,DAVID,D1
2015275,2015000402549,ASSISTANCE RENDERED,ONVIEW,3,"MVC - REPORT, NON INJ/NON BLKG OR AFTER FACT INJ",--TRAFFIC - MV COLLISION INVESTIGATION,11/18/2015 07:14:39 AM,11/18/2015 07:14:40 AM,NORTH,NORA,N2
